block,policy,success,time (s),collisions
Left,NECL,FALSE,20,3
Left,Baseline,FALSE,20,0
Right,Baseline,FALSE,20,0
Right,NECL,FALSE,20,2
Left,Baseline,TRUE,19.99,0
Left,Pilot,TRUE,19.86,3
Left,Baseline,FALSE,20,0
Right,Pilot,TRUE,14.87,4
Left,Baseline,FALSE,20,1
Right,Pilot,FALSE,20,3
Left,Pilot,FALSE,20,5
Left,Baseline,FALSE,20,0
Right,Pilot,FALSE,20,4
Left,Baseline,FALSE,20,2
Left,NECL,TRUE,12.85,2
Right,NECL,FALSE,20,1
Left,Pilot,FALSE,20,0
Left,NECL,TRUE,10.49,2
Right,NECL,TRUE,11.83,0
Left,Baseline,FALSE,20,1
Left,Baseline,FALSE,20,2
Right,Pilot,TRUE,29.93,4
Right,Pilot,FALSE,20,5
Left,NECL,TRUE,11.61,0
Right,Baseline,FALSE,20,2
Right,Pilot,TRUE,9.98,4
Right,Baseline,TRUE,19.28,1
Right,Baseline,FALSE,20,2
Right,Pilot,FALSE,20,7
Right,Pilot,FALSE,20,9
Right,NECL,FALSE,20,1
Left,Pilot,FALSE,20,6
Left,Baseline,FALSE,20,3
Left,NECL,FALSE,20,0
Left,Pilot,FALSE,20,3
Right,Pilot,FALSE,20,7
Left,NECL,TRUE,15.5,1
Left,Baseline,FALSE,20,0
Left,Pilot,FALSE,20,6
Right,Baseline,FALSE,20,0
Left,NECL,TRUE,15.25,0
Right,NECL,FALSE,20,1
Left,NECL,TRUE,12.88,0
Left,NECL,FALSE,20,1
Right,NECL,FALSE,20,0
Right,Pilot,TRUE,12.43,4
Left,Pilot,FALSE,20,7
Left,NECL,FALSE,20,1
Right,Baseline,FALSE,20,2
Right,NECL,FALSE,20,0
Right,Baseline,FALSE,20,0
Right,Baseline,FALSE,20,0
Right,Baseline,FALSE,20,0
Left,Pilot,FALSE,20,4
Left,Pilot,FALSE,20,5
Right,NECL,FALSE,20,0
Left,Pilot,FALSE,20,5
Right,NECL,TRUE,18.4,2
Right,NECL,TRUE,14.06,0
Right,Baseline,TRUE,19.29,0
