block,policy,success,time (s),collisions,wrong block,How easy was the task (?/5),How in control did you feel when performing this task?,How much do you believe your inputs affected the trajectory of the robot?
Right,Pilot,FALSE,20,0,FALSE,3,3,3
Right,NECL,TRUE,12.77,0,FALSE,3,2,3
Left,NECL,TRUE,10.78,0,FALSE,2,2,2
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Right,NECL,FALSE,20,0,FALSE,2,2,2
Right,NECL,TRUE,20,0,FALSE,3,3,3
Left,Pilot,TRUE,19.08,5,FALSE,3,3,3
Left,Pilot,TRUE,12.62,2,FALSE,3,3.5,3
Right,Baseline,FALSE,20,0,FALSE,1,1,1
Left,Pilot,TRUE,19.37,4,FALSE,2,2.5,2
Left,Pilot,FALSE,20,5,FALSE,2,2,2.5
Left,NECL,TRUE,15.6,0,FALSE,2.5,3,2
Right,Pilot,TRUE,17.18,4,FALSE,2,2,2
Left,Baseline,FALSE,20,0,FALSE,1,1.5,1.5
Right,Pilot,FALSE,20,9,FALSE,2,2,3
Right,NECL,TRUE,16.56,0,FALSE,2,3,3
Right,Baseline,FALSE,20,0,FALSE,1,2,
Right,Pilot,FALSE,20,3,FALSE,2,2,3
Right,Baseline,FALSE,20,0,FALSE,1,1.5,1.5
Right,Pilot,FALSE,20,4,FALSE,2,2,3
Right,Baseline,FALSE,20,0,FALSE,1,1.5,1.5
Left,NECL,FALSE,20,0,TRUE,1,1,1
Right,Pilot,TRUE,10.02,4,FALSE,3,3,4
Left,NECL,TRUE,12.76,0,FALSE,2,3,3
Right,NECL,TRUE,19.89,0,FALSE,3,3,3
Right,NECL,FALSE,20,0,TRUE,1,1,1
Right,Pilot,FALSE,20,4,FALSE,2,3,3
Left,NECL,TRUE,12.69,0,FALSE,3,2,2
Right,Baseline,FALSE,20,0,FALSE,1,1.5,1
Left,NECL,FALSE,20,0,FALSE,2,2,2
Right,NECL,TRUE,19.87,0,FALSE,2,3,2
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Baseline,FALSE,20,0,FALSE,1,2,1.5
Left,Pilot,FALSE,20,4,FALSE,2,2,2
Right,NECL,FALSE,20,0,TRUE,1,1,1
Left,NECL,TRUE,12.18,0,FALSE,3,3,3
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Left,NECL,FALSE,20,0,FALSE,2,2,2
Left,Baseline,TRUE,19.83,0,FALSE,2,2,2
Left,Baseline,FALSE,20,0,FALSE,2,2,2
Right,Baseline,FALSE,20,0,TRUE,1,1,1
Right,NECL,FALSE,20,1,FALSE,2,2,2
Left,Baseline,FALSE,20,0,FALSE,1,1,1
Left,NECL,FALSE,20,0,FALSE,2,1,2
Right,Pilot,TRUE,16.81,3,FALSE,2,2.5,3
Left,NECL,FALSE,20,0,FALSE,1,1,1
Right,Pilot,FALSE,20,6,FALSE,2,3,3
Left,Baseline,FALSE,20,0,FALSE,2,3,3
Right,Pilot,FALSE,20,7,FALSE,3,3,3
Left,Pilot,TRUE,18.25,6,FALSE,3,3,3
Left,Pilot,TRUE,10.09,2,FALSE,3,3,2
Right,NECL,FALSE,20,0,FALSE,3,3,2
Left,Baseline,FALSE,20,0,FALSE,2,2,1.5
Right,Baseline,FALSE,20,0,FALSE,1,1,1
Left,Pilot,FALSE,20,8,FALSE,2,3,3
Left,Pilot,TRUE,19.03,2,FALSE,2,3,2
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Left,Baseline,FALSE,20,0,TRUE,1,1,1
Right,Baseline,FALSE,20,0,FALSE,2,1,1
Left,Pilot,FALSE,20,7,FALSE,2,3,3
